species_strain	species	num_gene	num_strain_sample	sum_strain_depth	species_gene_frac	log_selected_gene_depth_ratio_std	num_geno_positions
102272_101	102272	3328	5	50.39279243988999	0.9939455095862764	0.1900920588786237	1970
102272_102	102272	3339	2	49.23702117935223	0.9959636730575177	0.1897249252727177	2388
102272_109	102272	3566	4	48.42798530695357	0.9959636730575177	0.1924106681109128	2348
102272_11	102272	4412	3	4.697152176505604	0.970736629667003	0.2320811850387825	2353
102272_111	102272	3713	7	32.19418392829054	0.992936427850656	0.1949617800311799	2325
102272_114	102272	3980	12	139.3748633594699	0.9939455095862764	0.2032682691109857	1856
102272_115	102272	3537	5	233.55588545063344	0.9969727547931384	0.2136671574179187	2239
102272_118	102272	4553	3	7.10736294352075	0.9808274470232088	0.2300522469702667	1919
102272_120	102272	3720	7	88.54775926670698	0.9969727547931384	0.1869189986460626	235
102272_122	102272	3515	1	27.943779746048147	0.9939455095862764	0.1887132575265377	2178
102272_124	102272	3792	5	14.067970644639932	0.989909182643794	0.2053398502615962	2398
102272_125	102272	3452	5	31.207989290987488	0.9959636730575177	0.1949451245240842	2319
102272_128	102272	3468	2	15.84811639428263	0.9949545913218972	0.222228397513925	2108
102272_13	102272	3359	8	99.66770097644674	0.9959636730575177	0.1909737773413472	2004
102272_132	102272	3962	1	13.00414603236051	0.9919273461150352	0.2049960708004775	1992
102272_139	102272	3468	1	20.776728472717416	0.9939455095862764	0.1932114909659517	2098
102272_143	102272	4697	5	43.75061766751122	0.9959636730575177	0.2207558369969933	2009
102272_145	102272	3763	4	9.633098303430652	0.989909182643794	0.2025897130353158	2158
102272_152	102272	3303	4	20.677563249498856	0.9919273461150352	0.1898081565500894	2064
102272_166	102272	3910	1	10.92348074861577	0.9939455095862764	0.2010286540640294	1920
102272_170	102272	3279	1	13.799171600654065	0.9889001009081736	0.1911294672511229	1923
102272_173	102272	3660	5	48.17770257619591	0.9919273461150352	0.1911040913652475	2264
102272_176	102272	3354	7	217.94146126649235	0.9959636730575177	0.1865652557993471	2201
102272_177	102272	3223	5	30.31352741051888	0.9889001009081736	0.1918588731345505	2126
102272_18	102272	3705	2	5.286133674009511	0.9767911200807264	0.2002170990411394	2244
102272_2	102272	3167	9	124.90419883713204	0.9939455095862764	0.1874976698509291	1997
102272_20	102272	3960	3	43.195072095133575	0.9969727547931384	0.1997086594555309	2045
102272_21	102272	3483	8	82.71030979215982	0.9939455095862764	0.1993588476698038	2130
102272_22	102272	3257	5	376.7580545213318	0.9959636730575177	0.1868451267548803	1971
102272_23	102272	3202	4	170.65606411778697	0.9939455095862764	0.1855611297902474	2280
102272_25	102272	3804	1	12.758945351500008	0.9939455095862764	0.1983021473395892	2074
102272_26	102272	3349	11	527.2949201383157	0.9969727547931384	0.2112760178703134	2128
102272_27	102272	3205	11	129.72790784492628	0.9949545913218972	0.1872536635735129	1951
102272_29	102272	4547	6	30.792562116167662	0.9959636730575177	0.2198344949027685	2249
102272_3	102272	3280	11	415.6464368230409	0.9969727547931384	0.1850456457551679	1998
102272_31	102272	4335	5	18.113315591741944	0.9949545913218972	0.2066351313388017	2112
102272_32	102272	3319	14	323.4828790835038	0.9969727547931384	0.1886122499560047	1929
102272_33	102272	3373	18	272.4433354210678	0.9969727547931384	0.1873142324729421	2029
102272_35	102272	3797	1	8.963297591190626	0.9909182643794148	0.1979456676526649	2126
102272_37	102272	3282	7	176.92047684806354	0.9969727547931384	0.1896662076508381	2201
102272_38	102272	3465	12	135.42285428962327	0.9959636730575177	0.1924153416833322	2187
102272_4	102272	3652	16	217.17199841707588	0.9979818365287588	0.1944556976753269	2076
102272_41	102272	3345	22	143.4488957240569	0.9949545913218972	0.1896864444938996	268
102272_42	102272	3289	2	58.05635714497713	0.9959636730575177	0.1891445433027386	2121
102272_43	102272	3614	4	25.091792644793006	0.9959636730575177	0.191109381090779	1948
102272_45	102272	3234	5	162.15399237023283	0.9969727547931384	0.18560238813427	2183
102272_47	102272	4217	10	58.18466876587824	0.9949545913218972	0.2062715786985466	1955
102272_48	102272	3642	1	50.02478147306504	0.9949545913218972	0.1946418154821284	2124
102272_54	102272	3555	3	85.54791233920628	0.9959636730575177	0.1876470679914275	1993
102272_56	102272	3356	5	139.24008754845153	0.9959636730575177	0.1861220648588157	2168
102272_57	102272	4429	11	17.69674235730232	0.989909182643794	0.218574785016415	2115
102272_67	102272	3718	9	65.2192952306609	0.9949545913218972	0.1924972484052454	1058
102272_70	102272	3364	15	116.17272647173144	0.9949545913218972	0.1911108386622895	1908
102272_71	102272	3651	6	88.59896214806199	0.9969727547931384	0.1975048292053657	2134
102272_76	102272	4152	1	6.496021729029004	0.9868819374369324	0.2147717624833943	2172
102272_79	102272	4130	8	49.52736492127274	0.9979818365287588	0.2004841027502371	2096
102272_8	102272	3589	6	295.8442209822568	0.9969727547931384	0.1905969338561908	832
102272_80	102272	3949	3	8.639496475470363	0.9889001009081736	0.208903774641236	2149
102272_81	102272	3984	2	19.76903291133442	0.9949545913218972	0.2047149580662757	2206
102272_85	102272	5753	4	7.504021245350901	0.9838546922300706	0.2356269925325664	1997
102272_88	102272	3732	7	43.04304381694595	0.9949545913218972	0.1995630111143576	2121
102272_89	102272	4345	7	67.31922107833256	0.9979818365287588	0.2085324454260143	2050
102272_9	102272	3809	7	69.28907746578953	0.9969727547931384	0.198633668515358	1997
102272_91	102272	3730	8	157.650721503862	0.9989909182643796	0.1899533208235066	2264
102272_92	102272	4268	6	67.97956941099028	0.9949545913218972	0.2030064396600145	2363
102272_93	102272	3693	1	6.849037550724212	0.9858728557013118	0.2062817650399646	2180
102274_1	102274	2587	15	105.23324176808232	0.9972426470588236	0.1843199398287739	36224
102274_10	102274	2463	19	79.6115040322086	0.9981617647058824	0.1829996171803828	36207
