library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
ESM9IEP1_E5013C20_MBX	ESM9IEP1	metabolomics			ESM9IEP1_E5013C20_MBX
HSM5FZBJ_H4001C1_MBX	HSM5FZBJ	metabolomics			HSM5FZBJ_H4001C1_MBX
HSM5FZBQ_H4001C4_MBX	HSM5FZBQ	metabolomics			HSM5FZBQ_H4001C4_MBX
HSM5MD7W_H4001C7_MBX	HSM5MD7W	metabolomics			HSM5MD7W_H4001C7_MBX
HSM5MD5K_H4001C9_MBX	HSM5MD5K	metabolomics			HSM5MD5K_H4001C9_MBX
HSM5MD7J_H4001C13_MBX	HSM5MD7J	metabolomics			HSM5MD7J_H4001C13_MBX
HSM5MD7H_H4001C14_MBX	HSM5MD7H	metabolomics			HSM5MD7H_H4001C14_MBX
HSM5MD79_H4001C18_MBX	HSM5MD79	metabolomics			HSM5MD79_H4001C18_MBX
HSM67VEA_H4001C24_MBX	HSM67VEA	metabolomics			HSM67VEA_H4001C24_MBX
HSM5MD4S_H4004C1_MBX	HSM5MD4S	metabolomics			HSM5MD4S_H4004C1_MBX
HSM5MD4W_H4004C3_MBX	HSM5MD4W	metabolomics			HSM5MD4W_H4004C3_MBX
HSM5MD51_H4004C5_MBX	HSM5MD51	metabolomics			HSM5MD51_H4004C5_MBX
HSM5MD5P_H4004C9_MBX	HSM5MD5P	metabolomics			HSM5MD5P_H4004C9_MBX
HSM6XRSG_H4004C13_MBX	HSM6XRSG	metabolomics			HSM6XRSG_H4004C13_MBX
HSM7CYZT_H4004C19_MBX	HSM7CYZT	metabolomics			HSM7CYZT_H4004C19_MBX
HSM7CZ14_H4004C24_MBX	HSM7CZ14	metabolomics			HSM7CZ14_H4004C24_MBX
HSM5MD86_H4006C1_MBX	HSM5MD86	metabolomics			HSM5MD86_H4006C1_MBX
HSM5MD4A_H4006C4_MBX	HSM5MD4A	metabolomics			HSM5MD4A_H4006C4_MBX
HSM5MD7O_H4006C9_MBX	HSM5MD7O	metabolomics			HSM5MD7O_H4006C9_MBX
HSM67VEE_H4006C14_MBX	HSM67VEE	metabolomics			HSM67VEE_H4006C14_MBX
HSM7CYX2_H4006C19_MBX	HSM7CYX2	metabolomics			HSM7CYX2_H4006C19_MBX
HSM7CYXA_H4006C23_MBX	HSM7CYXA	metabolomics			HSM7CYXA_H4006C23_MBX
HSM5MD7Z_H4007C1_MBX	HSM5MD7Z	metabolomics			HSM5MD7Z_H4007C1_MBX
HSM5MD4Q_H4007C3_MBX	HSM5MD4Q	metabolomics			HSM5MD4Q_H4007C3_MBX
HSM5MD4O_H4007C5_MBX	HSM5MD4O	metabolomics			HSM5MD4O_H4007C5_MBX
HSM6XRSN_H4007C9_MBX	HSM6XRSN	metabolomics			HSM6XRSN_H4007C9_MBX
HSM67VHU_H4007C15_MBX	HSM67VHU	metabolomics			HSM67VHU_H4007C15_MBX
HSM5MD8A_H4008C1_MBX	HSM5MD8A	metabolomics			HSM5MD8A_H4008C1_MBX
HSM5MD5D_H4008C5_MBX	HSM5MD5D	metabolomics			HSM5MD5D_H4008C5_MBX
HSM6XRSZ_H4008C9_MBX	HSM6XRSZ	metabolomics			HSM6XRSZ_H4008C9_MBX
HSM67VFZ_H4008C14_MBX	HSM67VFZ	metabolomics			HSM67VFZ_H4008C14_MBX
HSM67VG6_H4008C17_MBX	HSM67VG6	metabolomics			HSM67VG6_H4008C17_MBX
HSM7CZ2P_H4008C24_MBX	HSM7CZ2P	metabolomics			HSM7CZ2P_H4008C24_MBX
HSM5MD82_H4009C1_MBX	HSM5MD82	metabolomics			HSM5MD82_H4009C1_MBX
HSM5MD8B_H4009C5_MBX	HSM5MD8B	metabolomics			HSM5MD8B_H4009C5_MBX
HSM6XRTC_H4009C9_MBX	HSM6XRTC	metabolomics			HSM6XRTC_H4009C9_MBX
HSM67VGA_H4009C13_MBX	HSM67VGA	metabolomics			HSM67VGA_H4009C13_MBX
HSM67VGG_H4009C17_MBX	HSM67VGG	metabolomics			HSM67VGG_H4009C17_MBX
HSM7CYYZ_H4009C24_MBX	HSM7CYYZ	metabolomics			HSM7CYYZ_H4009C24_MBX
HSM5MD87_H4010C1_MBX	HSM5MD87	metabolomics			HSM5MD87_H4010C1_MBX
HSM5MD43_H4010C4_MBX	HSM5MD43	metabolomics			HSM5MD43_H4010C4_MBX
HSM5MD3Y_H4010C6_MBX	HSM5MD3Y	metabolomics			HSM5MD3Y_H4010C6_MBX
