mgen_id	mgen_group_id
HSM7CYXQ_G111768	core
HSM7CYXS_G111803	core
HSM5MD5B_G110547	core
HSM5MD5D_G110548	core
HSM6XRSX_G110551	core
HSM67VFX_G111834	core
HSM67VFZ_G110554	core
HSM67VG8_G110471	core
HSM7CZ2H_G111775	core
HSM6XRT8_G110523	core
HSM6XRTG_G111826	core
HSM67VGA_G110546	core
HSM67VGC_G110516	core
HSM67VGG_G110468	core
HSM67VGK_G110474	core
HSM67VGK_TR_H4009C19_MGX	core
HSM5MD43_G110549	core
HSM5MD3Y_G110525	core
HSM5MD41_G110510	core
HSM6XRTM_G110562	core
HSM6XRTQ_G110517	core
HSM6XRTO_G111804	core
HSM6XRTS_G111814	core
HSM67VGY_G110491	core
HSM67VH1_G110504	core
HSM5MD6I_G110550	core
HSM5MD6K_G110545	core
HSM5MD6M_G111810	core
HSM6XRRJ_G110556	core
HSM6XRVA_G111811	core
HSM6XRVC_G110477	core
HSM6XRVC_TR_H4013C14_MGX	core
HSM6XRVK_G110488	core
HSM7J4QZ_G111776	core
HSM7J4R2_G110500	core
HSM5MD66_G110539	core
HSM5MD6A_G110524	core
HSM5MD6A_TR_H4014C5_MGX	core
HSM5MD6C_G111792	core
HSM6XRRV_G110558	core
HSM6XRS2_G111773	core
HSM6XRVM_G110521	core
HSM6XRVO_G110555	core
HSM6XRVU_G111812	core
HSM6XRVW_G110481	core
HSM7J4QT_G110496	core
HSM5MD62_G110537	core
HSM5MD6Y_G110541	core
HSM5MD71_G111746	core
HSM5MD73_G110527	core
HSM5MD75_G111800	core
HSM6XRS4_G110514	core
HSM6XRS6_G111774	core
HSM6XRS8_G111829	core
HSM6XRSE_G111782	core
HSM7CYZ5_G111747	core
HSM7CYZ7_G110480	core
HSM7CYZ9_G111749	core
HSM7CYZB_G111769	core
HSM7CYZD_G111742	core
HSM7CYZF_G111781	core
HSM7J4QB_G111787	core
HSM7J4QD_G111806	core
HSM7J4QF_G110499	core
HSM7J4QH_G111744	core
HSM7J4QJ_G110494	core
HSM7J4QL_G111743	core
HSM5MD6Q_G111818	core
HSM5MD6W_G110533	core
HSM67VF3_G110553	core
HSM7CYXE_G111813	core
HSM7CYXG_G111777	core
HSM7CYXI_G110490	core
HSM7CYXO_G111815	core
HSM7J4I3_G110498	core
HSM7J4KO_G111817	core
HSM7J4KQ_G110506	core
HSM6XRQB_G110544	core
HSM67VHK_G111819	core
HSM6XRQI_G110511	core
HSM6XRQK_G110515	core
HSM6XRQM_G110536	core
HSM6XRQO_G110561	core
HSM67VF9_G110552	core
HSM67VFD_G110467	core
HSM67VFF_G111802	core
HSM67VFH_G111741	core
HSM67VFJ_G110489	core
HSM7CYY3_G111766	core
HSM7CYY5_G111794	core
HSM7CYY7_G110483	core
HSM7CYYD_G110497	core
HSM7CYY9_G110503	core
HSM7CYYB_G110505	core
HSM6XRQS_G111809	core
HSM6XRQU_G110529	core
HSM6XRQW_G110532	core
HSM6XRQY_G111830	core
HSM67VFR_G110520	core
HSM7CYYF_G111786	core
HSM7CYYH_G110487	core
HSM7CYYP_G111779	core
HSM7J4LD_G110502	core
HSM7J4LF_G111790	core
HSM7J4LH_G110495	core
HSM7J4LN_G110507	core
HSM6XRR5_G110509	core
HSM6XRR7_G110513	core
HSM6XRR9_G111783	core
HSM6XRRB_G110560	core
HSM6XRRD_G111832	core
HSM6XRUX_G111823	core
HSM6XRUZ_G111824	core
HSM6XRV2_G111755	core
HSM6XRV4_G110479	core
HSM6XRV6_G110470	core
HSM6XRV8_G110475	core
HSM7J4PC_G111760	core
HSM7J4PE_G111785	core
HSM7J4PG_G111805	core
HSM7J4PI_G110485	core
HSM7J4PK_G110501	core
HSM7J4PM_G110318	core
HSM7J4M4_G111799	core
HSM7J4M6_G111761	core
HSM7J4M8_G110300	core
HSM7J4MA_G110322	core
HSM7J4MC_G110334	core
HSM7J4ME_G110336	core
HSM6XRR3_G111801	core
HSM67VCZ_G110357	core
HSM67VD2_G110359	core
HSM67VD4_G110366	core
HSM67VD6_G110360	core
HSM67VHB_G110362	core
HSM67VHD_G110356	core
HSM67VHF_G110284	core
HSM67VHH_G111767	core
HSM67VHJ_G110282	core
HSM6XRUV_G111750	core
HSM7J4PO_G110291	core
