"mgen_id	mgen_group_id"
"CSM7KOSV_G116687	hmp2"
"CSM7KOSX_G116720	hmp2"
"CSM67UH7_G110651	hmp2"
"CSM79HGX_G116737	hmp2"
"CSM79HGZ_G116733	hmp2"
"CSM79HOV_G110595	hmp2"
"CSM79HOX_G110583	hmp2"
"CSM79HOZ_G116676	hmp2"
"CSM79HP2_G110568	hmp2"
"CSM79HP4_G116738	hmp2"
"CSM79HP6_G110610	hmp2"
"CSM7KOOH_G116680	hmp2"
"CSM7KOOJ_G110618	hmp2"
"CSM7KOOL_G110601	hmp2"
"CSM7KOON_G110606	hmp2"
"CSM7KOOP_G110581	hmp2"
"CSM7KOOR_G116710	hmp2"
"CSMA8M9R_G110637	hmp2"
"CSMAAEUA_G110619	hmp2"
"CSMAE44D_G110624	hmp2"
"CSMAG78W_G116716	hmp2"
"CSMAHYLR_G110626	hmp2"
"CSM79HH4_G116704	hmp2"
"CSM79HH8_G116675	hmp2"
"CSM79HHA_G110580	hmp2"
"CSM79HPA_TR_C3023C8_MGX	hmp2"
"CSM79HPA_G116662	hmp2"
"CSM79HPC_G116677	hmp2"
"CSM7KONA_G110612	hmp2"
"CSM7KONK_G116688	hmp2"
"CSM7KOTA_G110632	hmp2"
"CSM7KOTC_G116664	hmp2"
"CSM7KOTK_G116715	hmp2"
"CSM79HHW_G110646	hmp2"
"CSM79HJM_G116668	hmp2"
"CSM79HJO_G116701	hmp2"
"CSM79HJQ_G110642	hmp2"
"CSM79HJS_G116673	hmp2"
"CSM79HJU_G110582	hmp2"
"CSM79HQV_G110585	hmp2"
"CSM79HQX_G110593	hmp2"
"CSM79HQZ_G110594	hmp2"
"CSM79HR2_G116672	hmp2"
"CSM79HR4_G110598	hmp2"
"CSM79HR6_G116746	hmp2"
"CSM7KOOT_G110616	hmp2"
"CSM7KOOV_G116750	hmp2"
"CSM7KOOX_G110604	hmp2"
"CSM7KOOZ_G110657	hmp2"
"CSM7KOP2_G110565	hmp2"
"CSMA88CB_G110629	hmp2"
"CSMA9J65_G116719	hmp2"
"CSMACTZP_G110621	hmp2"
"CSMAF72L_G110623	hmp2"
"CSMAH393_G110636	hmp2"
"CSMAIG7X_G116692	hmp2"
"CSM79HKX_G110648	hmp2"
"CSM79HKZ_G110650	hmp2"
"CSM79HL4_G110658	hmp2"
"CSM79HL6_G110567	hmp2"
"CSM7KOKR_G116743	hmp2"
"CSM7KOKT_G110608	hmp2"
"CSM7KOKZ_G116748	hmp2"
"CSM7KOL2_G110602	hmp2"
"CSM7KORC_G116754	hmp2"
"CSM7KORK_G116718	hmp2"
"CSM7KORI_G110620	hmp2"
"CSM7KORG_G116714	hmp2"
"CSM79HNE_G110574	hmp2"
"CSM79HNI_G110586	hmp2"
"CSM79HNK_G110592	hmp2"
"CSM79HNM_G110570	hmp2"
"CSM7KOLY_G110611	hmp2"
"CSM7KOS7_G110607	hmp2"
"CSM7KOSH_G110628	hmp2"
"CSM9X1Y5_G110625	hmp2"
"CSM79HNO_G116742	hmp2"
"CSM79HNU_G116732	hmp2"
"CSM79HNW_G110569	hmp2"
"CSM7KOMB_G116679	hmp2"
"CSM7KOMH_G110603	hmp2"
"CSM7KOSL_G116663	hmp2"
"CSM7KOSP_G116665	hmp2"
"CSM7KOST_G110622	hmp2"
"CSM7KOSJ_G110635	hmp2"
"CSM79HR8_G116724	hmp2"
"CSM79HRC_G116739	hmp2"
"CSM79HRE_G110596	hmp2"
"CSM79HRG_G116744	hmp2"
"CSM7KOO5_G116681	hmp2"
"CSM7KOO9_G116686	hmp2"
"CSM7KOOD_G116689	hmp2"
"CSM7KOOF_G116713	hmp2"
"CSM9X1Z4_G116697	hmp2"
"CSM9X1ZC_G116674	hmp2"
"CSM7KOP6_G110615	hmp2"
"CSM7KOP8_G110599	hmp2"
"CSM7KOPE_G110630	hmp2"
"CSM7KOU9_G116721	hmp2"
"CSM7KOUB_G110627	hmp2"
"CSM9X1ZO_G110639	hmp2"
"CSM9X1ZQ_G110640	hmp2"
"CSM9X1ZY_G110579	hmp2"
"CSM9X22G_G110576	hmp2"
"CSM9X22I_G110584	hmp2"
"CSM9X22K_G116723	hmp2"
"CSM7KORO_G116751	hmp2"
"CSM7KORM_G116684	hmp2"
"CSM7KORU_G116690	hmp2"
"CSM7KORS_G110634	hmp2"
"CSM9X1XU_G116711	hmp2"
"CSM9X1Y3_G116736	hmp2"
"CSM9X21J_G116731	hmp2"
"CSM9X21L_G110588	hmp2"
"CSM9X21N_G110566	hmp2"
"CSM7KOTO_G110633	hmp2"
"CSM7KOTQ_G116666	hmp2"
"CSM7KOTS_G116667	hmp2"
"CSM7KOTU_G116717	hmp2"
"CSM9X1YV_G116696	hmp2"
"CSM9X21R_G110577	hmp2"
"CSM9X21T_G116730	hmp2"
"CSM9X222_G110571	hmp2"
"CSM9X233_G110563	hmp2"
"CSM9X235_G116728	hmp2"
"CSM9X237_G116670	hmp2"
"CSM9X23B_G116669	hmp2"
"CSM7KOUL_G116693	hmp2"
"CSM7KOUN_G116712	hmp2"
"CSM9X219_G116694	hmp2"
"CSM9X213_G116695	hmp2"
"CSM9X215_G110641	hmp2"
"CSM9X211_G110578	hmp2"
"CSM9X22S_G116725	hmp2"
"CSM9X22U_G116726	hmp2"
"CSM9X23H_G110564	hmp2"
"CSM9X23N_G116722	hmp2"
"ESM5MEBE_G111920	hmp2"
"ESM5GEXY_G110450	hmp2"
"ESM5MEBG_G110452	hmp2"
"ESM5MECQ_G111917	hmp2"
"ESM5MEBI_G111929	hmp2"
"ESM5MECL_G110463	hmp2"
"ESM5MEBS_G110461	hmp2"
"ESM5MEBU_G110457	hmp2"
"ESM5MEC3_G111899	hmp2"
"ESM5MEC5_G110453	hmp2"
"ESM5MEDU_G111922	hmp2"
"ESM5MEC9_G111914	hmp2"
"ESM718SY_G111924	hmp2"
"ESM5ME9U_G110395	hmp2"
"ESM5MEDN_G110456	hmp2"
"ESM5MEDK_G111915	hmp2"
"ESM5MEDD_G111916	hmp2"
"ESM5MEDF_G110442	hmp2"
"ESM718UH_G111918	hmp2"
"ESM7F5AK_G110399	hmp2"
"ESM7F5AM_G111925	hmp2"
"ESM7F5CB_G110404	hmp2"
"ESM7F5CD_G111862	hmp2"
"ESM7F5CF_G111872	hmp2"
"ESM5MEB7_G110451	hmp2"
"ESM5MED2_G110441	hmp2"
"ESM718V8_G110454	hmp2"
"ESM718V4_G111919	hmp2"
"ESM718TK_G110465	hmp2"
"ESM718TM_G111913	hmp2"
"ESM718TF_G110393	hmp2"
"ESM718T9_G111857	hmp2"
"ESM718T7_G110402	hmp2"
"ESM7F5C5_G110406	hmp2"
"ESM7F5C7_G111846	hmp2"
"ESM9IEP1_G111869	hmp2"
"HSM5FZBZ_G116708	hmp2"
"HSM5MD7J_G110645	hmp2"
"HSM5MD79_G110643	hmp2"
"HSM67VDZ_G110644	hmp2"
"HSM67VE4_G110654	hmp2"
"HSM5MD4Y_G110647	hmp2"
"HSM5MD53_G116702	hmp2"
"HSM5MD5P_G110542	hmp2"
"HSM6XRSG_G110530	hmp2"
"HSM6XRSI_G110535	hmp2"
"HSM67VDP_G111764	hmp2"
"HSM7CYZT_G110476	hmp2"
"HSM7CYZV_G110472	hmp2"
"HSM7CZ14_G110493	hmp2"
"HSM5MD48_G110543	hmp2"
"HSM5MD7K_G110538	hmp2"
"HSM5MD7M_G111756	hmp2"
"HSM5MD7O_G110526	hmp2"
"HSM5MD7Q_G110528	hmp2"
