library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
CSM7KOR8_P_G95791	CSM7KOR8_P	metagenomics	6.0	15874181.0	CSM7KOR8_G95791
CSM67UCU_P_G95659	CSM67UCU_P	metagenomics	6.0	10381505.0	CSM67UCU_G95659
CSM67UAI_P_G95811	CSM67UAI_P	metagenomics	6.0	7611263.0	CSM67UAI_G95811
CSM79HHO_G116705	CSM79HHO	metagenomics		11855793.0	CSM79HHO_G116705
CSM79HHM_G116700	CSM79HHM	metagenomics		18172128.0	CSM79HHM_G116700
CSM79HHU_G116706	CSM79HHU	metagenomics		12341549.0	CSM79HHU_G116706
CSM79HN2_G110573	CSM79HN2	metagenomics		25926953.0	CSM79HN2_G110573
CSM79HN6_G116741	CSM79HN6	metagenomics		10474192.0	CSM79HN6_G116741
CSM7KOLK_G110597	CSM7KOLK	metagenomics		13810898.0	CSM7KOLK_G110597
CSM7KOLM_G116747	CSM7KOLM	metagenomics		21963186.0	CSM7KOLM_G116747
CSM7KOSV_G116687	CSM7KOSV	metagenomics		13206402.0	CSM7KOSV_G116687
CSM7KOSX_G116720	CSM7KOSX	metagenomics		10855117.0	CSM7KOSX_G116720
CSM67UH7_G110651	CSM67UH7	metagenomics		16156293.0	CSM67UH7_G110651
CSM79HGR_P_G95664	CSM79HGR_P	metagenomics	6.0	15048954.0	CSM79HGR_G95664
CSM79HGV_P_G95756	CSM79HGV_P	metagenomics	6.0	22188774.0	CSM79HGV_G95756
CSM79HGX_G116737	CSM79HGX	metagenomics		7585660.0	CSM79HGX_G116737
CSM79HGZ_G116733	CSM79HGZ	metagenomics		10479201.0	CSM79HGZ_G116733
CSM79HOV_G110595	CSM79HOV	metagenomics		8389676.0	CSM79HOV_G110595
CSM79HOX_G110583	CSM79HOX	metagenomics		20958039.0	CSM79HOX_G110583
CSM79HOZ_G116676	CSM79HOZ	metagenomics		13674571.0	CSM79HOZ_G116676
CSM79HP2_G110568	CSM79HP2	metagenomics		32444092.0	CSM79HP2_G110568
CSM79HP4_G116738	CSM79HP4	metagenomics		8871880.0	CSM79HP4_G116738
CSM79HP6_G110610	CSM79HP6	metagenomics		11545593.0	CSM79HP6_G110610
CSM7KOOH_G116680	CSM7KOOH	metagenomics		9452232.0	CSM7KOOH_G116680
CSM7KOOJ_G110618	CSM7KOOJ	metagenomics		21887596.0	CSM7KOOJ_G110618
CSM7KOOL_G110601	CSM7KOOL	metagenomics		10297300.0	CSM7KOOL_G110601
CSM7KOON_G110606	CSM7KOON	metagenomics		15972230.0	CSM7KOON_G110606
CSM7KOOP_G110581	CSM7KOOP	metagenomics		16090667.0	CSM7KOOP_G110581
CSM7KOOR_G116710	CSM7KOOR	metagenomics		6851.0	CSM7KOOR_G116710
CSMA8M9R_G110637	CSMA8M9R	metagenomics		28025521.0	CSMA8M9R_G110637
CSMAAEUA_G110619	CSMAAEUA	metagenomics		17246303.0	CSMAAEUA_G110619
CSMAE44D_G110624	CSMAE44D	metagenomics		19581125.0	CSMAE44D_G110624
